Subtask Name,Page Numbers,Bag,Dependency Flags,Student Team,Final Assembly,Subassembly
subtask 1-1,"(4, 7, 8, 9, 10)",bag 1,"(0, 0, 0, 0)",1,"(7, 8, 9, 10)",()
subtask 1-2,"(4, 11, 12, 13)",bag 1,"(0, 0, 0)",2,"(11, 12, 13)",()
subtask 1-3,"(4, 14, 15, 16, 17)",bag 1,"(0, 0, 0, 0)",3,"(14, 15, 16, 17)",()
subtask 1-4,"(4, 18, 19, 20, 21, 22, 23, 24)",bag 1,"(0, 0, 0, 0, 0, 1, 0)",4,"(18, 19, 20, 21, 22, 23, 24)","(23,)"
subtask 1-5,"(4, 25, 26, 27, 28, 29, 30, 31)",bag 1,"(0, 0, 0, 0, 0, 0, 0)",5,"(25, 26, 27, 28, 29, 30, 31)",()
subtask 2-1,"(32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42)",bag 2,"(1, 0, 1, 0, 0, 1, 0, 1, 0, 0)",1,"(33, 34, 35, 36, 37, 38, 39, 40, 41, 42)","(33, 35, 38, 40)"
subtask 2-2,"(32, 43, 44, 45, 46, 47)",bag 2,"(0, 0, 0, 0, 0)",2,"(43, 44, 45, 46, 47)",()
subtask 2-3,"(32, 48, 49, 50, 51, 52, 53, 54, 55)",bag 2,"(0, 0, 0, 0, 0, 0, 0, 0)",3,"(48, 49, 50, 51, 52, 53, 54, 55)",()
subtask 2-4,"(32, 56, 57, 58, 59, 60, 61, 62, 63)",bag 2,"(0, 0, 0, 0, 0, 0, 0, 0)",4,"(56, 57, 58, 59, 60, 61, 62, 63)",()
subtask 3-1,"(64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76)",bag 3,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0)",5,"(65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76)","(65, 67, 68, 69, 70, 71, 73)"
subtask 3-2,"(64, 77, 78)",bag 3,"(0, 0)",3,"(77, 78)",()
subtask 3-3,"(64, 79, 80, 81)",bag 3,"(1, 0, 0)",2,"(79, 80, 81)","(79,)"
subtask 3-4,"(64, 82, 83, 84, 85, 86, 87)",bag 3,"(1, 1, 0, 1, 1, 0)",1,"(82, 83, 84, 85, 86, 87)","(82, 83, 85, 86)"
subtask 3-5,"(5, 6, 88)",bag 3,"(0, 0)",4,"(6, 88)",()
